id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Steel Cathedral,Iron Atlas,metal,intense,0.95,168,0.32,0.55,0.08
12,Riverbend Blues,Dusty Harp,blues,relaxed,0.44,88,0.55,0.48,0.62
13,Prairie Echoes,Marigold Line,country,happy,0.58,104,0.72,0.66,0.41
14,String Theory Nocturne,Vienna Loft,classical,focused,0.22,68,0.48,0.22,0.94
15,Sunlit Sway,Kingston Roots,reggae,chill,0.48,92,0.78,0.74,0.52
16,Midblock Cipher,Clip Nine,rap,intense,0.88,142,0.41,0.82,0.12
17,Campfire Arithmetic,Wild Pines,folk,relaxed,0.33,76,0.64,0.52,0.88
18,Pulse Atlas,Neon Mirage,electronic,moody,0.79,126,0.52,0.81,0.14
